source_year,source_file,source_sheet,diarienummer,utbildningsnamn,utbildningsomrade,beslut,decision_normalized,kommun,lan,yh_poang,studieform,study_form_normalized,studietakt_procent,utbildningsanordnare,huvudmannatyp,sun5_inriktning,sun5_inriktning_namn,seqf_niva,smalt_yrkesomrade
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5458,.NET Cloud developer,Data/IT,Avslag,rejected,Stockholm,Stockholm,400,Bunden,on_site,100,IT-Högskolan Stockholm AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4695,.NET Developer,Data/IT,Avslag,rejected,Flera kommuner,Flera kommuner,400,Bunden,on_site,100,KYH AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4476,.NET Utvecklare,Data/IT,Beviljad,approved,Gävle,Gävleborg,400,Bunden,on_site,100,Plushögskolan AB - Teknikhögskolan,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4708,.NET Utvecklare,Data/IT,Avslag,rejected,Flera kommuner,Flera kommuner,410,Distans,distance,100,Plushögskolan AB - Teknikhögskolan Mitt,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5529,.NET-utvecklare,Data/IT,Avslag,rejected,Kungälv,Västra Götaland,400,Distans,distance,100,Optimum Education AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5532,.NET-utvecklare,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,400,Bunden,on_site,100,IT-Högskolan Sverige AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4324,Agil IT-projektledare,Data/IT,Avslag,rejected,Solna,Stockholm,400,Distans,distance,100,Hermods AB Stockholm,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4765,Agil IT-projektledare,Data/IT,Avslag,rejected,Malmö,Skåne,400,Distans,distance,100,Hermods AB Malmö,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5427,Agil Projektledare,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,300,Distans,distance,100,Stockholm School of Business,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4680,Agil Projektledare - Scrum,Data/IT,Avslag,rejected,Malmö,Skåne,300,Bunden,on_site,100,KYH AB Malmö,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4692,Agil Projektledare - Scrum,Data/IT,Avslag,rejected,Flera kommuner,Flera kommuner,300,Bunden,on_site,100,KYH AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5482,Agil projektledare/DevOps,Data/IT,Avslag,rejected,Norrköping,Östergötland,400,Distans,distance,100,Stockholms Internationella Handelsskola AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5252,AI & Machine Learning Engineer,Data/IT,Avslag,rejected,Stockholm,Stockholm,400,Distans,distance,100,Lernia Utbildning AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5240,AI Business Consultant,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,400,Bunden,on_site,100,"Göteborgs Stad, Yrgo",Kommun,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5442,AI Data Analyst,Data/IT,Avslag,rejected,Sundsvall,Västernorrland,400,Bunden,on_site,100,Edugrade AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4860,AI Developer,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,400,Bunden,on_site,100,JENSEN Education School AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4975,AI Developer,Data/IT,Avslag,rejected,Malmö,Skåne,400,Bunden,on_site,100,JENSEN Education School AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5510,AI Engineer,Data/IT,Avslag,rejected,Flera kommuner,Flera kommuner,420,Distans,distance,100,Medieinstitutet i Sverige AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5241,AI Utvecklare,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,400,Bunden,on_site,100,"Göteborgs Stad, Yrgo",Kommun,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4402,AI-utvecklare,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,400,Bunden,on_site,100,EC Utbildning AB Göteborg,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5104,AI-utvecklare,Data/IT,Avslag,rejected,Solna,Stockholm,400,Bunden,on_site,100,EC Utbildning AB Stockholm,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5540,AI-utvecklare,Data/IT,Avslag,rejected,Kungälv,Västra Götaland,400,Distans,distance,100,Optimum Education AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4327,Applikationsingenjör mot industri/fordonsbranschen,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,410,Distans,distance,100,Hermods AB Göteborg,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5416,Applikationsutvecklare till iPhone och Android,Data/IT,Avslag,rejected,Stockholm,Stockholm,400,Bunden,on_site,100,IT-Högskolan Stockholm AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5526,Applikationsutvecklare till webb och mobila enheter,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,400,Bunden,on_site,100,IT-Högskolan Sverige AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/5413,Avancerad Programmerare,Data/IT,Avslag,rejected,Umeå,Västerbotten,550,Bunden,on_site,100,Changemaker Educations AB,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4749,Backend Developer,Data/IT,Avslag,rejected,Stockholm,Stockholm,400,Bunden,on_site,100,KYH AB Stockholm,Privat,,,,
2022,resultat-ansokningsomgang-2022.xlsx,Tabell 3,MYH 2022/4930,Backend Developer,Data/IT,Avslag,rejected,Göteborg,Västra Götaland,400,Bunden,on_site,100,Handelsakademin i Göteborg AB,Privat,,,,
